Lola (voiced by Juliet Rusche in English) is the pink deer who has wood powers and a car that can fly.,Lola is a deer,GS
Tina (voiced by Samantha Hahn in English) is a green turtle who is also a friend of the Deer Squad. She has three children.,Tina is a green turtle,GS
Ricardo (voiced by Jaiden Cannatelli in English) is a helium-voiced squirrel who likes to play pranks. He has an affinity for his tail which he named Ramona.,Ricardo is a squirrel,GS
"↑  for example the Bremner, Bird and Fortune satirical comedy documentary Between Iraq and a Hard Place included the line: 'The SA80 is a lethal weapon, especially for anyone trying to fire it', similar to a description of the Vietnam War era M16.",SA80 is a lethal weapon,MS
"The flowers are conspicuous and are borne on singly on pedicels in leaf axils. They are generally vivid lemon-yellow in colour, but with a white centre in some species. The calyx has five sepals, forming a shallow cup. The corolla has five petals, usually imbricate and thereby forming a shallow bowl, though this is less evident if the petals happen to be narrow, as sometimes occurs on a particular plant. The petals are inserted into the throat of the calyx cup. There are ten stamens, more or less set in two whorls of five, inserted between the base of the gynoecium and the petals. The carpels typically are five in number, but may vary from about 3 to 10. They are connate and remain so in the fruit, which forms a synaptospermic diaspore that may act as a trample burr, being spread by sticking to animals' feet. The styles are terete and the stigmas capitate.",styles is a terete,BS
"The Royal Alberta Museum, in Edmonton is the official provincial museum and largest museum in western Canada.",Royal Alberta Museum is a provincial museum,GS
"The Michelsen Farmstead is a typical farmstead of the 1890s era, located in the National Historic Site of Canada of Stirling. It was declared a Provincial Historic Site of Alberta in 2001, and has been restored back to its original 19th century Victorian style.",Michelsen Farmstead is a farmstead,GS
"Robert V. Derrah: Work
Crossroads of the World (1936), one of America's first outdoor shopping malls, 6671 Sunset Boulevard at Las Palmas, Los Angeles. Listed on the National Register of Historic Places.
Coca-Cola Building (Los Angeles) (1939), 1334 South Central Avenue
Southern California Gas Company Complex (1942), Art Deco style six story extension at 820 S. Flower Street including two concrete side sections that curve into the recessed glass center.
five unit Colonial courtyard building (1935) on Durant Drive in Beverly Hills, targeted for demolition
Mrs. Lillian M. Rose house (1934), a Monterey architecture style house at 842 South Citrus Avenue in Mid-City.
","Robert V. Derrah is related to the following Work: Crossroads of the World, Coca-Cola Building (Los Angeles), Southern California Gas Company Complex, Beverly Hills, Lillian M. Rose house.",MS
"Ellen G. White: Physical phenomena during visions
'In passing into vision, she gives three enrapturing shouts of 'Glory!' which echo and re-echo, the second, and especially the third, fainter but more thrilling than the first, the voice resembling that of one quite a distance from you, and just going out of hearing.'
For a few moments 
she would swoon
, having no strength.  Then she would be instantly 
filled with superhuman strength
, sometimes rising to her feet and walking about the room. She frequently moved hands, arms, and head in gestures that were free and graceful. But to whatever position she moved a hand or arm, it could not be hindered nor controlled by even the strongest person.  In 1845, she held her parents' 18.5 pound family Bible in her outstretched left hand for half an hour.  She weighed 80 pounds at the time.
She did not breathe
 during the entire period of a vision that ranged 
from fifteen minutes to three hours
.  Yet, her pulse beat regularly and her countenance remained pleasant as in the natural state.
Her eyes were always open without blinking
; her head was raised, looking upward with a pleasant expression as if staring intently at some distant object.  Several physicians, at different times, conducted tests to check her lack of breathing and other physical phenomena.
She was utterly 
unconscious of everything transpiring around her
, and viewed herself as removed from this world, and in the presence of heavenly beings.
When she came out of vision, all seemed total darkness whether in the day time or a well-lighted room at night.  She would exclaim with a long-drawn sigh, as she took her first natural breath, 'D-a-r-k.' She was then limp and strengthless.
","Ellen G. White is related to the following Physical: Glory, a few moments, pound, fifteen minutes to three hours, expression, exclaim.",BS
"Ellen G. White: Theology
Christ-centered salvation by grace
The Great Controversy theme
Obedience to revealed truth a sign of genuine faith
",Ellen G. White is related to the following Theology: Great Controversy theme.,MN
"Ellen G. White: Major writings
Patriarchs and Prophets (book, 1890), describing Biblical History from creation to Israel's King David.
Prophets and Kings (book, 1917), describing Biblical History from King Solomon until Israel returned from exile.
The Desire of Ages (book, 1898), comprehensive volume on the life of Jesus Christ.
The Acts of the Apostles (book, 1911) detailing the rise of the early Christian church in the first century.
The Great Controversy, describing the history of sin from beginning to end.
Steps to Christ (1892), a classic, concise (evangelical) treatment of personal devotional topics.
Christ's Object Lessons (1900), about the parables of Jesus.
Education (1903), principles of Christian education
The Ministry of Healing (1905), instructions on healthy living and the care of others.
Thoughts from the Mount of Blessing (1896), about Christ's Sermon on the Mount.
","Ellen G. White is related to the following Major: Patriarchs and Prophets (book, 1890), Prophets and Kings (book, 1917), The Desire of Ages (book, 1898), The Acts of the Apostles (book, 1911), The Great Controversy, Steps to Christ, Christ's Object Lessons, Education, The Ministry of Healing, Thoughts from the Mount of Blessing.",MS
"Panzer 68: Variants
Panzer 68 1st Series (Pz68); 170 built 1971–1974, all upgraded to Pz68 AA 2 in 1975-1977
Panzer 68 2nd Series (Pz68 AA 2); 50 built 1974-1977; one equipped with a new turret and updated as the Pz68/88
Panzer 68 3rd Series (Pz68/75); also named Pz68GT (Grosser Turm ('Bigger Turret')); 110 built 1978–1979, all upgraded to Pz68/88 in 1993
Panzer 68 4th Series (Pz68/75); 60 built 1983–1984, all upgraded to Pz68/88 in 1993
Panzer 68/88; upgraded Pz68 AA 2 with modern laser guidance system (which was borrowed from the Pz 87 Leopard), an improved commander entry and updated camouflage pattern. Majority of aforementioned technical issues fixed.
Panzer 68-2000 (Pz68-2000); project, fitted with 120mm Smoothbore gun, modern thermal sights and electronics, more powerful engine, new angular turret with highly improved NBC protection, additional protection. Rejected in favor of the Panzer 87 Leo due to high developing costs.
","Panzer 68 is related to the following Variants: Pz68, Pz68 AA 2, Pz68/75, Pz68/75, 68/88, Panzer 68-2000.",MN
"The Jesus and Mary Chain: Discography
Psychocandy (1985)
Darklands (1987)
Automatic (1989)
Honey's Dead (1992)
Stoned & Dethroned (1994)
Munki (1998)
Damage and Joy (2017)
","The Jesus and Mary Chain is related to the following Discography: Psychocandy, Darklands, Automatic, Honey's Dead, Stoned & Dethroned, Munki, Damage and Joy.",GS
"The Jesus and Mary Chain: Members
Jim Reid – vocals, guitar (1983–1999, 2007–present)
William Reid – guitar, vocals (1983–1999, 2007–present)
Mark Crozer – guitar (2007–2008, 2012), bass (2013–present)
Scott Von Ryper – guitar (2015–present)
Justin Welch – drums (2021–present)
","The Jesus and Mary Chain is related to the following Members: Jim Reid, William Reid, Mark Crozer, Scott Von Ryper, Justin Welch.",GS
"The Jesus and Mary Chain: Members
Douglas Hart – bass (1984–1991)
Murray Dalglish – drums (1984)
Bobby Gillespie – drums (1984–1986, 2017)
Martin Hewes – drums (1986)
James Pinker – drums (1986)
Dave Evans – rhythm guitar (1987–1989)
Richard Thomas – drums (1988–1990)
Ben Lurie – rhythm guitar/bass (1989–1998)
Steve Monti – drums (1990–1995)
Matthew Parkin – bass (1992)
Barry Blackler – drums (1992)
Nick Sanderson – drums (1993–1998; died 2008)
Lincoln Fong – bass (1994–1995)
Geoff Donkin – drums (1998)
Phil King – bass/guitar (1998, 2007–2015)
Laurence Colbert – drums (2007–2008)
John Moore – guitar (1986–1987, 2012), drums (1985–1986)
Duncan Cameron – guitar (1983–1984)
Brian Young – drums (2012–2021)
","The Jesus and Mary Chain is related to the following Members: Douglas Hart, Murray Dalglish, Bobby Gillespie, Martin, Pinker, Dave Evans, Richard Thomas, Ben Lurie, drums, Parkin, drums, Nick Sanderson, Lincoln, drums, Phil King, Laurence Colbert, John Moore, Duncan Cameron, Brian Young.",MS
"We Are the Union: Current members
Reade Wolcott – guitar, lead vocals (2005-2013, 2015-present)
Brandon Benson – bass, backing vocals (2005-2013, 2015-present)
Ricky Weber – lead guitar (2008-2013, 2015-present)
Jer Hunter – trombone, backing vocals (2015-present)
","We Are the Union is related to the following Current: guitar, bass, Weber, trombone.",BS
"We Are the Union: Former members
Brent Friedman – drums (2015-2022)
Matt Belanger – trombone
Tony Weinbender – unknown, possibly trombone
Jim Margle – drums
John Ryan Jr. – saxophone
Trey Cook – drums
Ben Wixson – guitar
David Lackey – trombone
Barney – trombone
Daniel Ray – trombone
Charlie Held – drums
Ryan Collins- guitar
Noah Fenton- guitar
Denni Skagelera- tenor saxophone (touring member)
","We Are the Union is related to the following Former: drums, trombone, trombone, drums, saxophone, drums, guitar, Lackey, Barney, trombone, drums, guitar, Noah, tenor saxophone.",BS
"We Are the Union: Studio albums
Who We Are (2007)
Great Leaps Forward (2010)
You Can't Hide The Sun (2012)
Self Care (2018)
Ordinary Life (2021)
","We Are the Union is related to the following Studio: Who We Are, Great Leaps Forward, You Can't Hide The Sun, Self Care, Ordinary Life.",MS
"We Are the Union: Extended plays
The Grow Up Or Shut Up EP (2006, out of print)
The Gun Show Must Go On (2009, digital only)
Graveyard Grins (2011, digital only)
You Can't B-Side The Sun (2014)
Keep It Down (2015)
","We Are the Union is related to the following Extended: The Grow Up Or Shut Up, The Gun Show Must Go On, Graveyard Grins, You Can't B-Side The Sun, Keep It Down.",MS
"We Are the Union: Demos
The Grow Up Or Shut Up EP (2006, out of print)
",We Are the Union is related to the following Demos: The Grow Up Or Shut Up.,GS
"We Are the Union: YouTube releases
Dust on the Hourglass (Acoustic In-Studio) (2018)
",We Are the Union is related to the following YouTube: Hourglass.,BS
"We Are the Union: Music videos
This is My Life (And It's Ending One Minute At A Time) (2008)
We're Gonna Need A Bigger Boat (2012)
Call In Dead (Lyric Video, 2015)
A Better Home (Lyric Video, 2018)
Dust on the Hourglass (Acoustic In-Studio) (2018)
What's Wrong With Me? (Lyric Video, 2018)
Your Way, Your Time (2020)
Pre-Expatriate (2020)
You're Dead / Vampire Ska (2020)
I'm Working Retail For Christmas (2020)
Morbid Obsessions (2021)
Boys Will Be Girls (2021)
Make It Easy (2021)
","We Are the Union is related to the following Music: My Life, 2012, Lyric Video, Better Home, Hourglass, Lyric Video, 2020, 2020, Ska, Christmas, Morbid Obsessions, Boys Will Be Girls, Make It Easy.",BS
"We Are the Union: Fall Sampler 2012 (2012, Paper and Plastick Records)
Features the track 'Dead End' from You Can't Hide The Sun
",We Are the Union is related to the following Fall: Dead End.,BS
"We Are the Union: 2013 Summer Sampler (2013, Paper and Plastick Records)
Features the track 'Dust on the Hourglass' also from You Can't Hide The Sun
",We Are the Union is related to the following 2013: Hourglass.,BS
"Kees Bol: Bibliography
Bol, Peter en  Henriëtte Verburgh (2005) Kees Bol. Kees Bol Foundation.
Verburgh, Henriëtte (2001) Kees Bol: portretten van Toos. Wijk: Pictures Publishers, ISBN 90-73187-39-7.
Beks, Maarten (1991) Kees Bol: 1974-1991. Hapert: De Kempen Pers, ISBN 90-70427-81-8.
Puijenbroek, Frans van en Lambert Tegenbosch (1976). Kees Bol. Eindhoven: Stedelijk Van Abbemuseum.
Wessem, Jan N. van (1957) Kees Bol. Leiden: De Lakenhal.
","Kees Bol is related to the following Bibliography: Kees Bol, Kees Bol: portretten van Toos, Kees Bol: 1974-1991, Kees Bol, Kees Bol.",BN
"Can't Go Back (album): Personnel
Tanita Tikaram – vocals, writing
Chavonne Stewart – backing vocals (track 2)
Nava Morris – backing vocals (track 2)
Paul Bryan – producer, bass, Mellotron (M4000), Chamberlin, vocals (track 9), backing vocals
Alexander Mertsch – design and photo retouching
Jay Bellerose – drums and percussion
Mark Creswell – acoustic and electric guitars, backing vocals, sequencing, writing
Natacha Horn – photography
Sylvie Bardet – photography, backing vocals (track 6)
Keefus Ciancia – piano, keyboards, synthesizer
Ryan Freeland – recording, mixing and mastering, backing vocals (track 6)
Jason Mott – technician
Grant-Lee Phillips – vocals (tracks 1 and 6)
","Can't Go Back (album) is related to the following Personnel: Tanita Tikaram, backing vocals, Nava, Bryan, Alexander, Jay Bellerose, Creswell, photography, photography, Keefus Ciancia, Ryan Freeland, Jason, Grant-Lee Phillips.",MS
"Franklin, Australian Capital Territory: Open space
The Gubur Dhaura Heritage Site provides 360 views of the surrounding landscape and an ochre quarry site which are of cultural significance to the Ngunnawal people. Remains of the Red Hill pipeclay mine, Old Well Station Track and historical markers can also be found here;
The Mulangarri and North Mitchell Grasslands;
The Gungaderra Creek;
Old Well Station Track which connects the Well Station Heritage Precinct (located in the neighboring suburb of Harrison) with the Gungaderra Homestead, and Gubur Dhaura Red Hill Heritage Site through to the Gungahlin Town Centre.
","Franklin, Australian Capital Territory is related to the following Open: ochre, Mitchell, Gungahlin Town Centre.",BS
"Franklin, Australian Capital Territory: Buses
18: Travels through Manning Clark Crescent
21 & 22: Travels through Hoskins Street, Oodgeroo Avenue and Nullarbor Avenue
","Franklin, Australian Capital Territory is related to the following Buses: Manning Clark, Nullarbor.",MS
"Franklin, Australian Capital Territory: Education
Franklin Early Childhood School
A shared PEA of Harrison School and Palmerston District Primary
Harrison School
Gungahlin College
","Franklin, Australian Capital Territory is related to the following Education: Franklin, PEA, Harrison, Gungahlin College.",BS
"Josephine Langworthy Rathbone: Works
Rathbone, Josephine L. (March 1937). 'Residual Neuromuscular Hypertension: Implication for Physiotherapy'. Physical Therapy. 17 (2): 43–46. doi:10.1093/ptj/17.2.043. Retrieved October 18, 2020.
",Josephine Langworthy Rathbone is related to the following Works: Physical Therapy.,MS
"Betsy Jolas: List of major works
For an extended list, see List of compositions by Betsy Jolas.
","Betsy Jolas is related to the following List: For an extended list, see List of compositions by Betsy Jolas.",BS
"Betsy Jolas: Operas
Le Pavillon au Bord de la Rivière (1975), chamber opera in 4 acts
Schliemann (1982–83), opera in 3 acts
Le Cyclope (1986), chamber opera in 1 act
","Betsy Jolas is related to the following Operas: Le Pavillon au Bord de la Rivière, Schliemann, Le Cyclope.",GS
"Betsy Jolas: Orchestral
D'un opéra de voyage (1967) for chamber orchestra
Quatre Plages (1967) for string orchestra
Well Met (1973) for string orchestra
Tales of a summer sea (1977) for orchestra
Cinq pièces pour Boulogne (1982)
B Day (2006) for symphony orchestra
A Little Summer Suite (2015)
","Betsy Jolas is related to the following Orchestral: D'un opéra de voyage, Quatre Plages, Well Met, Tales of a summer sea, Cinq pièces pour Boulogne, B Day, A Little Summer Suite.",GS
"Betsy Jolas: Solo works with orchestra or ensemble
Points D'Aube (1968) for viola and ensemble
Musique d'hiver (1971) for organ and small orchestra
Trois Rencontres (1973) for solo string trio and symphony orchestra
Stances (1978) for piano and orchestra
Histoires vraies (2015) double concerto for trumpet and piano
Side Roads (2017) for cello and string orchestra
b Tunes for Nicolas (2021) piano concerto for Nicolas Hodges and BBC Symphony Orchestra
","Betsy Jolas is related to the following Solo: Points D'Aube, Musique d'hiver, Trois Rencontres, Stances, Histoires vraies, Side Roads, b Tunes for Nicolas.",GN
"Betsy Jolas: Works for large ensemble
Figures (1965) for 9 instruments
J.D.E. (1966) for 14 musicians
D'un opéra de poupée en sept musiques (1982) for 11 instruments
Préludes, Fanfares, Interludes, Sonneries (1983) for wind band
Sonate à 8 (1998) for cello octet
","Betsy Jolas is related to the following Works: Figures, J.D.E., D'un opéra de poupée en sept musiques, Préludes, Fanfares, Interludes, Sonneries, cello.",MS
"Betsy Jolas: Chamber music
Quartet Nos. 1–6 (1956–1997)
O Wall (1976) for wind quintet
Quatuor VII (Afterthoughts) (2018) for trumpet, violin, viola and cello
Episode No. 1–9 (1964–1990) for various solo instruments
B for Sonata (1973) for piano
Musique de jour (1976) for organ
Signets, hommage à Maurice Ravel (1987) for piano
Femme le soir (2018) for cello and piano
","Betsy Jolas is related to the following Chamber: Nos, O Wall, Quatuor VII (Afterthoughts), Episode No. 1–9, B for Sonata, Musique de jour, Signets, hommage à Maurice Ravel, Femme le soir.",GN
"Betsy Jolas: Chorus
Mass (1945) for choir, soloists and orchestra
Motet I–IV (1947–2002) for various voices, chorus, orchestra, ensemble
Enfantillages (1956) for women's or children's choir in 3 equal voices
L'oeil égaré dans les plis de l'obéissance au vent, cantate radiophonique (1961) for soprano, contralto, baritone, mixed choir and orchestra
Dans la chaleur vacante, cantate radiophonique (1963) for choir and orchestra
Autres enfantillages (2000) for children's or women's choir with clarinet ad libitum
","Betsy Jolas is related to the following Chorus: Mass, Motet, Enfantillages, L'oeil égaré dans les plis de l'obéissance au vent, cantate radiophonique, Dans la chaleur vacante, cantate radiophonique, Autres enfantillages.",GS
"Betsy Jolas: Vocal
Mots (1963) for soprano and ensemble
Quartet No. 2 (1964) for soprano and string trio
Liring Ballade (1980) for baritone and orchestra
Sigrancia-Ballade (1995) for baritone and orchestra
L'Ascension du Mont Ventoux (2004) for soprano, narrator, flute, clarinet, violin, cello and harp
","Betsy Jolas is related to the following Vocal: Mots, soprano, Liring Ballade, Sigrancia-Ballade, L'Ascension du Mont Ventoux.",MS
"Betsy Jolas: Honors
Officier de la Légion d'honneur (2006)
Prix de l'Académie Charles Cros pour l'ensemble de son œuvre (2015)
Officier de l'Ordre du Mérite (2003)
Berlin Prize (2000)
Commandeur des Arts et des Lettres (1985)
Prix International Maurice Ravel (1992)
Grand prix de la SACEM(1982)
Grand Prix de la Ville de Paris (1981)
Prix National de la Musique (1974)
Koussevitzky Prize (1974)
Copley Foundation award (1954)
","Betsy Jolas is related to the following Honors: Officier de la Légion d'honneur, Charles Cros, Officier de l'Ordre du Mérite, Berlin Prize, Commandeur des Arts et des Lettres, Maurice Ravel, Paris, Prix National de la Musique, Koussevitzky Prize, Copley Foundation.",MS
