"five unit Colonial courtyard building (1935) on Durant Drive in Beverly Hills, targeted for demolition","The relation ""is in"" holds between Durant Drive and Beverly Hills",BS
"Mrs. Lillian M. Rose house (1934), a Monterey architecture style house at 842 South Citrus Avenue in Mid-City.","The relation ""is in"" holds between 842 South Citrus Avenue and Mid-City",GS
"Patriarchs and Prophets (book, 1890), describing Biblical History from creation to Israel's King David.","The relation ""to"" holds between Israel and King David",GS
"Bol, Peter en  Henriëtte Verburgh (2005) Kees Bol. Kees Bol Foundation.","The relation ""Verburgh at_time"" holds between Bol and 2005",GS
Well Met (1973) for string orchestra,"The relation ""for Met is"" holds between string orchestra and 1973",GS
O Wall (1976) for wind quintet,"The relation ""for Wall is"" holds between wind quintet and 1976",GS
"Quatuor VII (Afterthoughts) (2018) for trumpet, violin, viola and cello","The relation ""for Quatuor is"" holds between trumpet and 2018",GS
"L'oeil égaré dans les plis de l'obéissance au vent, cantate radiophonique (1961) for soprano, contralto, baritone, mixed choir and orchestra","The relation ""for radiophonique is"" holds between soprano and 1961",GS
"Dans la chaleur vacante, cantate radiophonique (1963) for choir and orchestra","The relation ""for radiophonique is"" holds between choir and 1963",GS
"D. Henahan: 'Betsy Jolas Winning Recognition in the USA', The New York Times (30 August 1976)","The relation ""is in"" holds between Betsy Jolas Winning Recognition and USA",GS
"B. Jolas: Molto espressivo (Paris, 1999) [collected writings]","The relation ""Paris at_time"" holds between Molto espressivo and 1999",GS
"V. Perlis: 'Recordings in Review: Betsy Jolas', The Yale Review (1995), 179–185","The relation ""Review at_time"" holds between V. Perlis and 1995",GS
"'Lord Derwentwater', collected by Francis James Child and published as Child Ballad 208 in English and Scottish Popular Ballads (1882-98).","The relation ""collected by"" holds between Lord Derwentwater and Francis James Child",GS
"Playground with Steve Kuhn (ECM, 1980) – recorded in 1979","The relation ""is with"" holds between Playground and Steve Kuhn",GS
"One for Junior with Mark Murphy (Muse, 1993)","The relation ""Muse is at_time"" holds between Mark Murphy and 1993",GS
"Heart Strings (Muse, 1994)","The relation ""Muse at_time"" holds between Heart Strings and 1994",GS
"Jazz Child with Steve Kuhn (HighNote, 1999)","The relation ""is with"" holds between Jazz Child and Steve Kuhn",GS
"Jazz Child with Steve Kuhn (HighNote, 1999)","The relation ""HighNote is at_time"" holds between Steve Kuhn and 1999",GS
"The Very Thought of Two with Harvie Swartz (MA, 2000)","The relation ""MA is at_time"" holds between Harvie Swartz and 2000",GS
"Little Song with Steve Kuhn (HighNote, 2003)","The relation ""is with"" holds between Little Song and Steve Kuhn",GS
"Little Song with Steve Kuhn (HighNote, 2003)","The relation ""HighNote is at_time"" holds between Steve Kuhn and 2003",GS
"Celebration with Cameron Brown (HighNote, 2005)","The relation ""is with"" holds between Celebration and Cameron Brown",GS
"Celebration with Cameron Brown (HighNote, 2005)","The relation ""HighNote is at_time"" holds between Cameron Brown and 2005",GS
"Winter Sunshine (Justin Time, 2008)","The relation ""Time at_time"" holds between Winter Sunshine and 2008",GS
"Theatre (ECM, 1983)","The relation ""ECM at_time"" holds between Theatre and 1983",GS
"Broad Strokes (Knitting Factory, 2000)","The relation ""Factory at_time"" holds between Broad Strokes and 2000",GS
"1831: Four female Greek figures. Acroteria in the Altes Museum, Berlin","The relation ""is in"" holds between Acroteria and Altes Museum",GS
1840–1850: Statue of Johann Joachim Winckelmann in Stendal (Bronze); also as a marble statue in the National Gallery.,"The relation ""of Statue is"" holds between Johann Joachim Winckelmann and Bronze",GS
"Dayton O'Brien formerly with the University of Memphis, O'Brien was drafted by the Columbus Crew in 2006. O'Brien signed with the Memphis Mojo for the 2006/2007 season.","The relation ""was drafted by"" holds between Dayton O'Brien and Columbus Crew",GS
"Dayton O'Brien formerly with the University of Memphis, O'Brien was drafted by the Columbus Crew in 2006. O'Brien signed with the Memphis Mojo for the 2006/2007 season.","The relation ""was drafted by"" holds between Dayton O'Brien and Columbus Crew",GS
